Format,AiM CSV File,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time,GPS Speed,GPS Nsat,GPS LatAcc,GPS LonAcc,GPS Slope,GPS Heading,GPS Gyro,GPS Altitude,GPS PosAccuracy,GPS SpdAccuracy,GPS Radius,GPS Latitude,GPS Longitude,LoggerTemp,External Voltage,RPM,F Heave,F Roll,R Heave,R Roll,InlineAcc,LateralAcc,VerticalAcc,RollRate,PitchRate,YawRate,Luminosity,Inverter Enable,D4 Gate Driver B,D3 Module C,D1 Control Board,D4 Torque Shudde,D3 Motor Tempera,D2 Motor Speed,D4 DC Bus Curren,D1 Phase A Curre,D3 Phase C Curre,D2 Phase B Curre,D4 VBC Vq Voltag,D3 VAB Vd Voltag,D2 Output Voltag,D1 DC Bus Voltag,D4 Iq,D3 Id,D2 Flux Feedback,D1 Flux Command,D7 Direction Com,D6 Inverter Enab,D7 BMS Torque Li,D1 Commanded Tor,D2 Torque Feedba,D4 Iq Command,D3 Id Command,Fast Torque Comm,Fast Torque Feed,Fast Motor Speed,Fast DC Bus Volt,Inverter Enable dup 1,Speed Mode Enabl,Direction Comman,Torque Command,Inverter Dischar,Torque Limit Com,Current,Voltage,RDTActive,D3 HV Input Current,SteeringWheelPos,BrakeLightActive,TSAL Active,BrakeSensor1,BrakeSensor2,SpeedFrontRight,SpeedRearLeft,SpeedFrontLeft,SpeedRearRight,SpeedFrontRightMph,SpeedRearLeftMph,SpeedFrontLeftMph,SpeedRearRightMph,FrontLeft,FrontRight,RearLeft,RearRight,Temperature,CoolantTemp,MotorPumpStatus1,MotorPumpStatus2,APPS1,APPS2,LV Current,LV Voltage,HeartBit,Pack Current,Pack Inst Voltag,Pack SOC,Average Temperat,Pack DCL,High Temperature,Low Temperature,High Cell Voltag,Low Cell Voltage,MultiPurpose  01,Maximum Pack Vol,Minimum Cell Vol,GPS Speed,GPS Nsat,GPS LatAcc,GPS LonAcc,GPS Slope,GPS Heading,GPS Gyro,GPS Altitude,GPS PosAccuracy,GPS Radius,GPS Latitude,GPS Longitude,Distance on GPS Speed
s,mph, ,g,g,deg,deg,deg/s,m,mm,mph,m,deg,deg,°C,V,rpm,mm,mm,mm,mm,g,g,g,deg/s,deg/s,deg/s,%,#,°C,°C,°C,#,°C,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,Nm,Nm,#,mV,#,#,#,#,#,#,#,#,#,#,#,#,#,bar,bar,#,#,#,#,#,#,#,#,#,#,#,#,°C,°C,#,#,%,%,#,mV,#,A,mV,%,°C,#,°C,°C,mV,mV,#,mV,mV,mph, ,g,g,deg,deg,deg/s,m,mm,m,deg,deg,m
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1.7378,4,0,0,0.1565,-85.2549,0,331.8382,200,7.27,10000,40.84919233,-80.34574867,38.5,11.344,0,11.8438,-3.3301,8.5078,-2.8477,-0.0059,-0.0102,-0.9976,0.9761,0.0458,-0.229,110.25,0,29.6,29.3,29.2,0,33.4,1,0,0,0.2,0.2,0.1,-0.5,0,0.7,0.1,0.2,-18.542,0.034,1,0,0,0,0,0,0,0,0.1,1,0.7,0,0,1,0,0,0,0,0,0,0,0,0,0,5.1917,2.9303,0,0,0,0,0,0,0,0,0,0,0,0,30.1875,0,0,0,-2.62,-2.93,1.78,18110,0,0,365399.9688,86,19,175,28,11,17.2,6.2,1,0,0,3.8873,4,0,0,0.1565,-85.2549,0,331.8382,3039900,10000,40.8492,-80.3457,0
0.05,1.7378,4,0,0,0.1565,-85.2549,0,331.8382,200,7.27,10000,40.84919233,-80.34574867,38.5,11.344,0,11.8438,-3.3301,8.5078,-2.8477,-0.0065,-0.01,-0.9971,0.9712,0.0343,-0.2448,110.25,0,29.6,29.3,29.2,0,33.4,1,0,0,0.2,0.2,0.1,-0.5,0,0.7,0.1,0.2,-18.542,0.034,1,0,0,0,0,0,0,0,0.1,1,0.7,0,0,1,0,0,0,0,0,0,0,0,0,0,5.1917,2.9303,0,0,0,0,0,0,0,0,0,0,0,0,30.1875,0,0,0,-2.62,-2.93,1.78,18110,0,0,365399.9688,86,19,175,28,11,17.2,6.2,1,0,0,3.8873,4,0,0,0.1565,-85.2549,0,331.8382,3039900,10000,40.8492,-80.3457,0.0388
0.1,1.7378,4,0,0,0.1565,-85.2549,0,331.8382,200,7.27,10000,40.84919233,-80.34574867,38.5,11.344,0,11.8438,-3.3301,8.5078,-2.8477,-0.0065,-0.0106,-0.9976,0.98,0.0277,-0.2321,110.25,0,29.6,29.3,29.2,0,33.4,1,0,0,0.2,0.2,0.1,-0.5,0,0.7,0.1,0.2,-18.542,0.034,1,0,0,0,0,0,0,0,0.1,1,0.7,0,0,1,0,0,0,0,0,0,0,0,0,0,5.1917,2.9303,0,0,0,0,0,0,0,0,0,0,0,0,30.1875,0,0,0,-2.62,-2.93,1.78,18110,0,0,365399.9688,86,19,175,28,11,17.2,6.2,1,0,0,3.8873,4,0,0,0.1565,-85.2549,0,331.8382,3039900,10000,40.8492,-80.3457,0.0777
0.15,1.7378,4,0,0,0.1565,-85.2549,0,331.8382,200,7.27,10000,40.84919233,-80.34574867,38.5,11.344,0,11.8438,-3.3301,8.5078,-2.8477,-0.006,-0.0107,-0.9976,0.9907,0.0114,-0.2178,110.25,0,29.6,29.3,29.2,0,33.4,1,0,0,0.2,0.2,0.1,-0.5,0,0.7,0.1,0.2,-18.542,0.034,1,0,0,0,0,0,0,0,0.1,1,0.7,0,0,1,0,0,0,0,0,0,0,0,0,0,5.1917,2.9303,0,0,0,0,0,0,0,0,0,0,0,0,30.1875,0,0,0,-2.62,-2.93,1.78,18110,0,0,365399.9688,86,19,175,28,11,17.2,6.2,1,0,0,3.8873,4,0,0,0.1565,-85.2549,0,331.8382,3039900,10000,40.8492,-80.3457,0.1165
0.2,1.7378,4,0,0,0.1565,-85.2549,0,331.8382,200,7.27,10000,40.84919233,-80.34574867,38.5,11.344,0,11.8438,-3.3301,8.5078,-2.8477,-0.0055,-0.01,-0.9971,0.9907,0.0052,-0.2069,110.25,0,29.6,29.2976,29.2024,0,33.3925,1,0,0,0.2,0.2,0.1,-0.5,0,0.7,0.1,0.2,-18.542,0.034,1,0,0,0,0,0,0,0,0.1,1,0.7,0,0,1,0,0,0,0,0,0,0,0,0,0,5.1901,2.9286,0,0,0,0,0,0,0,0,0,0,0,0,30.1875,0,0,0,-2.62,-2.93,1.78,18109.1426,0,0,365399.9688,86,19,175,28,11,17.2,6.2,1,0,0,3.8873,4,0,0,0.1565,-85.2549,0,331.8382,3039900,10000,40.8492,-80.3457,0.1554
0.25,1.7378,4,0,0,0.1565,-85.2549,0,331.8382,200,7.27,10000,40.84919233,-80.34574867,38.5,11.344,0,11.8438,-3.3301,8.5078,-2.8477,-0.0058,-0.0097,-0.9976,0.9941,-0.0064,-0.2181,110.25,0,29.6,29.2926,29.2074,0,33.3775,1,0,0,0.2,0.2,0.1,-0.5,0,0.7,0.1,0.2,-18.542,0.034,1,0,0,0,0,0,0,0,0.1,1,0.7,0,0,1,0,0,0,0,0,0,0,0,0,0,5.1622,2.9007,0,0,0,0,0,0,0,0,0,0,0,0,30.1875,0,0,0,-2.62,-2.93,1.78,18094.8574,0,0,365399.9688,86,19,175,28,11,17.1648,6.2352,1,0,0,3.8873,4,0,0,0.1565,-85.2549,0,331.8382,3039900,10000,40.8492,-80.3457,0.1942
0.3,1.7378,4,0,0,0.1565,-85.2549,0,331.8382,200,7.27,10000,40.84919233,-80.34574867,38.5,11.344,0,11.8734,-3.3365,8.5375,-2.8516,-0.0066,-0.0101,-0.9976,0.979,-0.0197,-0.2324,110.25,0,29.6,29.2876,29.2124,0,33.3626,1,0,0,-0.0265,0.0706,0.0667,-0.3333,0,0.6667,0.0333,0.0667,-18.542,0.034,1,0,0,0,0.0686,0,0,0,0.2011,1,0.6495,0,0,1,0,0,0,0,0,0,0,0,0,0,5.1366,2.8773,0,0,0,0,0,0,0,0,0,0,0,0,30.1875,0,0,0,-2.62,-2.9199,1.78,18080.5723,0,0,365399.9688,86,19,175,28,11,17.1171,6.2829,1,0,0,3.8873,4,0,0,0.1565,-85.2549,0,331.8382,3039900,10000,40.8492,-80.3457,0.2331
0.35,1.7378,4,0,0,0.1565,-85.2549,0,331.8382,200,7.27,10000,40.84919233,-80.34574867,38.5,11.344,0,11.8547,-3.3494,8.5078,-2.8617,-0.0071,-0.0104,-0.9971,0.9656,0.0027,-0.2606,110.25,0,29.6,29.2826,29.2174,0,33.3476,1,0,0,-0.3696,-0.1255,0.0176,-0.0882,0,0.6176,-0.0647,-0.1294,-18.542,0.034,1,0,0,0,0.1667,0,0,0,0.2871,1,0.6043,0,0,1,0,0,0,0,0,0,0,0,0,0,5.1366,2.9049,0,0,0,0,0,0,0,0,0,0,0,0,30.1875,0,0,0,-2.62,-2.8997,1.6487,18093.584,0,0,365399.9688,86,19,175,28,11,17.1311,6.2689,1,0,0,3.8873,4,0,0,0.1565,-85.2549,0,331.8382,3039900,10000,40.8492,-80.3457,0.2719
0.4,1.7378,4,0,0,0.1565,-85.2549,0,331.8382,200,7.27,10000,40.84919233,-80.34574867,38.5,11.344,0,11.8633,-3.34,8.5094,-2.8385,-0.0065,-0.01,-0.9971,0.9678,0.0294,-0.2573,110.2802,0,29.6,29.2776,29.2224,0,33.3326,0.6961,0,0,-0.348,-0.048,0.0941,0,0,0.6,-0.0686,-0.0118,-18.542,0.034,1,0,0,0,0.1353,0,0,0,0.1258,1,0.6581,0,0,1,0,0,0,0,0,0,0,0,0,0,5.1388,2.9303,0,0,0,0,0,0,0,0,0,0,0,0,30.1875,0,0,0,-2.62,-2.89,1.5119,18107.7363,0,0,365399.9688,86,19,175,28,11,17.1796,6.2204,1,0,0,3.8873,4,0,0,0.1565,-85.2549,0,331.8382,3039900,10000,40.8492,-80.3457,0.3107
0.45,1.7378,4,0,0,0.1565,-85.2549,0,331.8382,200,7.27,10000,40.84919233,-80.34574867,38.5,11.344,0,11.8656,-3.3424,8.5016,-2.8295,-0.006,-0.0094,-0.9973,0.9893,0.0772,-0.2516,110.3323,0,29.6,29.2727,29.2273,0,33.3177,0.2059,0,0,-0.1029,0.1971,0.2412,0,0,0.6,-0.0196,0.2824,-18.542,0.034,1,0,0,0,0.0373,0,0,0,0.0118,0.8817,0.6763,0,0,1,0,0,0,0,0,0,0,0,0,0,5.1667,2.9303,0,0,0,0,0,0,0,0,0,0,0,0,30.1875,0,0,0,-2.62,-2.89,1.6604,18173.3965,0,0,365399.9688,86,19,175,28,11,17.2,6.2279,1,0,0,3.8873,4,0,0,0.1565,-85.2549,0,331.8382,3039900,10000,40.8492,-80.3457,0.3496
0.5,1.7378,4,0,0,0.1565,-85.2549,0,331.8382,200,7.27,10000,40.84919233,-80.34574867,38.4977,11.344,0,11.8648,-3.334,8.5094,-2.8375,-0.0065,-0.0095,-0.9971,0.9839,0.0807,-0.2625,110.3797,0,29.6,29.2677,29.2323,0,33.3027,0.2843,0,0,-0.1422,0.1863,0.2118,-0.0882,0,0.6294,-0.0294,0.2824,-18.542,0.034,1,0,0,0,0.0912,0,0,0,0.0656,0.3441,0.5688,0,0,1,0,0,0,0,0,0,0,0,0,0,5.189,2.9303,0,0,0,0,0,0,0,0,0,0,0,0,30.1875,0,0,0,-2.62,-2.89,1.8632,18248.8672,0,0,365399.9688,86,19,175,28,11,17.2,6.276,1,0,0,3.8873,4,0,0,0.1565,-85.2549,0,331.8382,3039900,10000,40.8492,-80.3457,0.3884
0.55,1.7378,4,0,0,0.1565,-85.2549,0,331.8382,200,7.27,10000,40.84919233,-80.34574867,38.4846,11.344,0,11.8953,-3.334,8.5094,-2.8451,-0.0071,-0.0098,-0.9966,0.9822,0.039,-0.2603,110.4057,0,29.6,29.2627,29.2373,0,33.2877,0.7745,0,0,-0.3873,-0.0098,0.0647,-0.2353,0,0.6784,-0.0784,0.0863,-18.542,0.034,1,0,0,0,0.2382,0,0,0,0.0806,0.3871,0.5387,0,0,1,0,0,0,0,0,0,0,0,0,0,5.1614,2.9303,0,0,0,0,0,0,0,0,0,0,0,0,30.1875,0,0,0,-2.62,-2.89,1.8487,18249.623,0,0,365399.9688,86,19,175,28,11,17.2,6.3,1,0,0,3.8873,4,0,0,0.1565,-85.2549,0,331.8382,3039900,10000,40.8492,-80.3457,0.4273
0.6,1.7378,4,0,0,0.1565,-85.2549,0,331.8382,200,7.27,10000,40.84919233,-80.34574867,38.4716,11.344,0,11.8687,-3.3352,8.5172,-2.8615,-0.0079,-0.0098,-0.9976,1.001,0.0181,-0.2576,110.4318,0,29.6,29.2577,29.2423,0,33.2728,1.2647,0,0.1853,-0.2088,0.1118,-0.1922,-0.3,0,0.7275,-0.2922,0.3569,-18.542,0.034,1,0,0,0,0.2147,0,0,0,0.0269,1.4624,0.6462,0,0,1,0,0,0,0,0,0,0,0,0,0,5.1394,2.9303,0,0,0,0,0,0,0,0,0,0,0,0,30.1875,0,0,0,-2.62,-2.89,1.7496,18221.3203,0,0,365399.9688,86,19,175,28,11,17.2,6.3,1,0,0,3.8873,4,0,0,0.1565,-85.2549,0,331.8382,3039900,10000,40.8492,-80.3457,0.4661
0.65,1.7378,4,0,0,0.1565,-85.2549,0,331.8382,200,7.27,10000,40.84919233,-80.34574867,38.4688,11.344,0,11.868,-3.3631,8.5102,-2.8533,-0.0082,-0.0103,-0.9976,0.9993,0.0045,-0.2551,110.4781,0,29.6,29.2527,29.2473,0,33.2578,1.7549,0,0.5284,0.3304,0.5039,-0.5353,-0.3,0,0.7765,-0.6353,0.9941,-18.542,0.034,1,0,0,0,0.0676,0,0,0,0,1.7312,0.7,0,0,1,0,0,0,0,0,0,0,0,0,0,5.1672,2.9303,0,0,0,0,0,0,0,0,0,0,0,0,30.1875,0,0,0,-2.62,-2.9048,1.8091,18198.6797,0,0,365399.9688,86,19,175,28,11,17.22,6.3,1,0,0,3.8873,4,0,0,0.1565,-85.2549,0,331.8382,3039900,10000,40.8492,-80.3457,0.505
0.7,1.7378,4,0,0,0.1565,-85.2549,0,331.8382,200,7.27,10000,40.84919233,-80.34574867,38.4688,11.344,0,11.8523,-3.3348,8.4953,-2.8467,-0.0088,-0.0104,-0.9976,1.001,-0.0093,-0.2445,110.5302,0,29.6,29.2477,29.2523,0,33.2428,1.5098,0,0.6265,0.5265,0.5529,-0.4961,-0.351,0,0.749,-0.7235,1.0451,-18.542,0.034,1,0,0,0,-0.0529,0,0,0,0,1.1935,0.7,0,0,1,0,0,0,0,0,0,0,0,0,0,5.1917,2.9303,0,0,0,0,0,0,0,0,0,0,0,0,30.1875,0,0,0,-2.62,-2.9248,1.9742,18179.8105,0,0,365399.9688,86,19,175,28,11,17.2676,6.3,1,0,0,3.8873,4,0,0,0.1565,-85.2549,0,331.8382,3039900,10000,40.8492,-80.3457,0.5438
0.75,1.7378,4,0,0,0.1565,-85.2549,0,331.8382,200,7.27,10000,40.84919233,-80.34574867,38.4688,11.344,0,11.8609,-3.3328,8.5312,-2.8561,-0.0094,-0.0106,-0.9971,1.0093,-0.0126,-0.223,110.5724,0,29.6,29.2427,29.2573,0,33.2278,0.5294,0,0.4794,0.3794,0.2588,-0.1039,-0.449,0,0.651,-0.5765,0.5549,-18.542,0.034,1,0,0,0,-0.151,0,0,0,0.0344,1.3441,0.7344,0,0,1,0,0,0,0,0,0,0,0,0,0,5.1917,2.9303,0,0,0,0,0,0,0,0,0,0,0,0,30.1875,0,0,0,-2.62,-2.9038,1.996,18181.4277,0,0,365399.9688,86,19,175,28,11,17.2845,6.2845,1,0,0,3.8873,4,0,0,0.1565,-85.2549,0,331.8382,3039900,10000,40.8492,-80.3457,0.5826
0.8,1.7378,4,0,0,0.1565,-85.2549,0,331.8382,200,7.27,10000,40.84919233,-80.34574867,38.4688,11.344,0,11.8773,-3.352,8.5047,-2.8324,-0.0098,-0.0107,-0.9976,0.9917,-0.0049,-0.2062,110.5984,0,29.6,29.2377,29.2623,0,33.2129,0.451,0,0.3098,0.2549,0.1451,0.1471,-0.5471,0,0.6235,-0.4294,0.3235,-18.542,0.034,1,0,0,0,-0.1755,0,0,0,0.0882,1.8817,0.7882,0,0,1,0,0,0,0,0,0,0,0,0,0,5.1917,2.9303,0,0,0,0,0,0,0,0,0,0,0,0,30.1875,0,0,0,-2.62,-2.8685,1.8627,18205.2383,0,0,365399.9688,86,19,175,28,11,17.2359,6.2359,1,0,0,3.8873,4,0,0,0.1565,-85.2549,0,331.8382,3039900,10000,40.8492,-80.3457,0.6215
0.85,1.7378,4,0,0,0.1565,-85.2549,0,331.8382,200,7.27,10000,40.84919233,-80.34574867,38.4688,11.344,0,11.9141,-3.3287,8.5375,-2.8227,-0.0095,-0.0103,-0.9976,0.9756,0.0191,-0.2194,110.6245,0,29.6,29.2327,29.2673,0,33.1979,1.4314,0,0.1137,0.1569,0.2431,0.2451,-0.6451,0,0.6725,-0.2824,0.3725,-18.542,0.034,1,0,0,0,-0.1265,0,0,0,-0.0258,1.5806,0.7581,0,0,1,0,0,0,0,0,0,0,0,0,0,5.1917,2.9303,0,0,0,0,0,0,0,0,0,0,0,0,30.1875,0,0,0,-2.62,-2.8714,1.8051,18196.6973,0,0,365399.9688,86,19,175,28,11,17.2,6.2125,1,0,0,3.8873,4,0,0,0.1565,-85.2549,0,331.8382,3039900,10000,40.8492,-80.3457,0.6603
0.9,1.7378,4,0,0,0.1565,-85.2549,0,331.8382,200,7.27,10000,40.84919233,-80.34574867,38.4688,11.3407,0,11.8734,-3.3309,8.5031,-2.8465,-0.0089,-0.0098,-0.9971,0.9702,0.0215,-0.2522,110.6505,0,29.6,29.2277,29.2723,0,33.1829,1.7941,0,-0.0206,0.0588,0.3,0.3,-0.6137,0,0.7216,-0.1569,0.4,-18.542,0.034,1,0,0,0,-0.0775,0,0,0,-0.1871,1.043,0.7043,0,0,1,0,0,0,0,0,0,0,0,0,0,5.1917,2.9303,0,0,0,0,0,0,0,0,0,0,0,0,30.1875,0,0,0,-2.62,-2.8864,1.8711,18135.377,0,0,365399.9688,86,19,175,28,11,17.2,6.2606,1,0,0,3.8873,4,0,0,0.1565,-85.2549,0,331.8382,3039900,10000,40.8492,-80.3457,0.6992
0.95,1.7378,4,0,0,0.1565,-85.2549,0,331.8382,200,7.27,10000,40.84919233,-80.34574867,38.4688,11.3374,0,11.8813,-3.3387,8.4945,-2.8711,-0.0097,-0.01,-0.9976,0.9578,0.032,-0.2455,110.6766,0,29.6,29.2228,29.2772,0,33.168,1.3039,0,-0.0696,-0.0392,0.3,0.3,-0.4176,0,0.7706,-0.0588,0.4,-18.542,0.034,1,0,0,0,-0.0284,0,0,0,-0.2,1,0.6505,0,0,1,0,0,0,0,0,0,0,0,0,0,5.1917,2.9303,0,0,0,0,0,0,0,0,0,0,0,0,30.1879,0,0,0,-2.62,-2.89,1.9646,18104.8574,0.005,0,365399.9688,86,19,175,28,11,17.2,6.2913,1,0,0,3.8873,4,0,0,0.1565,-85.2549,0,331.8382,3039900,10000,40.8492,-80.3457,0.738
1,1.7378,4,0,0,0.1565,-85.2549,0,331.8382,200,7.27,10000,40.84919233,-80.34574867,38.4688,11.336,0,11.7914,-3.3463,8.5008,-2.849,-0.0107,-0.0102,-0.9971,0.9556,0.0347,-0.2377,110.6875,0,29.6,29.2178,29.2822,0,33.153,1,0,-0.1186,-0.1559,0.2255,0.2412,-0.3784,0,0.7608,0.0392,0.302,-18.542,0.034,1,0,0,0,0.0206,0,0,0,-0.1935,1,0.5968,0,0,1,0,0,0,0,0,0,0,0,0,0,5.1873,2.9303,0,0,0,0,0,0,0,0,0,0,0,0,30.191,0,0,0,-2.62,-2.89,2.136,18162,0.0548,0,365399.9688,86,19,175,28,11,17.2,6.2433,1,0,0,3.8873,4,0,0,0.1565,-85.2549,0,331.8382,3039900,10000,40.8492,-80.3457,0.7769
1.05,1.7378,4,0,0,0.1565,-85.2549,0,331.8382,200,7.27,10000,40.84919233,-80.34574867,38.4688,11.336,0,11.85,-3.3406,8.5164,-2.8418,-0.0112,-0.0104,-0.9961,0.9683,0.0233,-0.2424,110.6875,0,29.6,29.2128,29.2872,0,33.138,1,0,-0.1676,-0.3029,0.0294,0.0941,-0.5745,0,0.6627,0.1373,0.0569,-18.542,0.034,1,0,0,0,0.0696,0,0,0,-0.086,1,0.543,0,0,1,0,0,0,0,0,0,0,0,0,0,5.1598,2.9303,0,0,0,0,0,0,0,0,0,0,0,0,30.1941,0,0,0,-2.62,-2.89,2.2105,18198.7852,0.1047,0,365399.9688,86,19,175,28,11,17.2,6.2,1,0,0,3.8873,4,0,0,0.1565,-85.2549,0,331.8382,3039900,10000,40.8492,-80.3457,0.8157
1.1,1.7378,4,0,0,0.1565,-85.2549,0,331.8382,200,7.27,10000,40.84919233,-80.34574867,38.4688,11.336,0,11.8703,-3.3244,8.5148,-2.8475,-0.0116,-0.0102,-0.9961,0.9722,0.0184,-0.2402,110.6922,0,29.6,29.2078,29.2922,0,33.1231,1,0,-0.3833,-0.5333,-0.25,0.0529,-0.5412,0,0.6176,0.5176,-0.2412,-18.542,0.034,1,0,0,0,0.2676,0,0,0,0.1075,1,0.5215,0,0,1,0,0,0,0,0,0,0,0,0,0,5.141,2.9303,0,0,0,0,0,0,0,0,0,0,0,0,30.1972,0,0,0,-2.62,-2.89,1.7759,18128.6914,0.1545,0,365399.9688,86,19,175,28,11,17.2,6.2,1,0,0,3.8873,4,0,0,0.1565,-85.2549,0,331.8382,3039900,10000,40.8492,-80.3457,0.8545
1.15,1.7378,4,0,0,0.1565,-85.2549,0,331.8382,200,7.27,10000,40.84919233,-80.34574867,38.4688,11.336,0,11.8719,-3.34,8.5141,-2.8473,-0.0116,-0.0095,-0.9966,0.9834,0.0162,-0.25,110.7182,0,29.6,29.2028,29.2972,0,33.1081,1,0,-0.9225,-0.9255,-0.6912,0.2,-0.1,0,0.6667,1.4,-0.6333,-18.542,0.034,1,0,0,0,0.7088,0,0,0,0.6452,1,0.629,0,0,1,0,0,0,0,0,0,0,0,0,0,5.1689,2.9303,0,0,0,0,0,0,0,0,0,0,0,0,30.2003,0,0,0,-2.62,-2.9058,1.3541,18060.3809,0.2044,0,365399.9688,86,19,175,28,11,17.201,6.2,1,0,0,3.8873,4,0,0,0.1565,-85.2549,0,331.8382,3039900,10000,40.8492,-80.3457,0.8934
1.2,1.7378,4,0,0,0.1565,-85.2549,0,331.8382,200,7.27,10000,40.84919233,-80.34574867,38.4688,11.336,0,11.8602,-3.3383,8.5305,-2.8398,-0.0108,-0.0103,-0.9966,0.9819,0.0134,-0.245,110.7443,0,29.6,29.2022,29.3,0,33.1,0.8529,0,-1.1235,-1.0676,-0.9118,0.2216,0.1216,0,0.6843,1.7333,-0.8059,-18.542,0.034,1,0,0,0,0.85,0,0,0,0.872,0.8172,0.7,0,0,1,0,0,0,0,0,0,0,0,0,0,5.1917,2.9303,0,0,0,0,0,0,0,0,0,0,0,0,30.2034,0,0,0,-2.62,-2.926,1.5589,18079.4277,0.2542,0,365399.9688,86,19,175,28,11,17.249,6.2,1,0,0,3.8873,4,0,0,0.1565,-85.2549,0,331.8382,3039900,10000,40.8492,-80.3457,0.9322
